Поверхность ;Приложение ;Интент ;Тип сообщения
SBOL;assistant;catalog;MESSAGE_FROM_USER
SBOL;catalog;axon;VOICE_FROM_USER
SBOL;assistant;run_app;VOICE_FROM_USER
SBERBOX;launcher;catalog;VOICE_FROM_USER
SBERBOX;;run_app;VOICE_FROM_USER
SBERBOX;;run_app;VOICE_FROM_USER
SBERBOX;;run_app;VOICE_FROM_USER
SBERBOX;;run_app;VOICE_FROM_USER
SBERBOX;;run_app;VOICE_FROM_USER
SBERBOX;;run_app;VOICE_FROM_USER
SBERBOX;;run_app;VOICE_FROM_USER
SBERBOX;;run_app;VOICE_FROM_USER
SBERBOX;;run_app;VOICE_FROM_USER
SBERBOX;assistant;run_app;VOICE_FROM_USER
SBERBOX;catalog;axon;VOICE_FROM_USER
SBERBOX;catalog;axon;VOICE_FROM_USER
SBERBOX;assistant;item_selector;MESSAGE_FROM_USER
SBERBOX;catalog;player_next;VOICE_FROM_USER
SBERBOX;catalog;video;VOICE_FROM_USER
SBERBOX;assistant;run_app;MESSAGE_FROM_USER
SBERBOX;catalog;axon_qa;VOICE_FROM_USER
SBERBOX;catalog;axon;MESSAGE_FROM_USER
SBERBOX;catalog;forward;VOICE_FROM_USER
SBERBOX;assistant;run_app;VOICE_FROM_USER
SBERBOX;catalog;axon;VOICE_FROM_USER
SBERBOX;catalog;axon;MESSAGE_FROM_USER
SBERBOX;catalog;axon;VOICE_FROM_USER
SBERBOX;catalog;axon;VOICE_FROM_USER
SBERBOX;catalog;axon;VOICE_FROM_USER
SBERBOX;catalog;player_next;VOICE_FROM_USER
SBERBOX;catalog;forward;VOICE_FROM_USER
SBERBOX;assistant;run_app;VOICE_FROM_USER
SBERBOX;catalog;volume;VOICE_FROM_USER
;;run_app;
;;run_app;
;;;
;;;
;;;
;;;
;;run_app;
;;run_app;
;;run_app;
;;run_app;
;;run_app;
;;run_app;
SBERBOX;youtube;video;VOICE_FROM_USER
SBERBOX;youtube;video;VOICE_FROM_USER
SBERBOX;youtube;video;VOICE_FROM_USER
SBOL;assistant;card_balance;MESSAGE_FROM_USER
SBOL;assistant;run_app;MESSAGE_FROM_USER
;;first_session;
;;first_session;
SBERBOX;videoplayer;video;VOICE_FROM_USER
SBERBOX;video;youtube_main_screen;VOICE_FROM_USER
SBERBOX;youtube;video;VOICE_FROM_USER
;;;
SBERBOX;youtube;video;VOICE_FROM_USER
SBERBOX;youtube;item_selector;VOICE_FROM_USER
SBERBOX;youtube;item_selector;VOICE_FROM_USER
SBERBOX;youtube;item_selector;VOICE_FROM_USER
SBOL;assistant;A0538.Find_out_the_detail_of_card;VOICE_FROM_USER
SBOL;assistant;A0538.Find_out_the_detail_of_card;MESSAGE_FROM_USER
;;first_session;
;;first_session;
SBERBOX;launcher;video;VOICE_FROM_USER
SBERBOX;launcher;video;VOICE_FROM_USER
SBERBOX;videoplayer;video;VOICE_FROM_USER
;;first_session;
SBOL;assistant;smartsearch;MESSAGE_FROM_USER
SBOL;assistant;smartsearch;MESSAGE_FROM_USER
SBOL;assistant;smartsearch;MESSAGE_FROM_USER
SBOL;assistant;A08.01633.Where_to_find_chat;MESSAGE_FROM_USER
;;;
;;first_session;
;;first_session;
SBERBOX;launcher;video;VOICE_FROM_USER
SBERBOX;system_ru.sberdevices.settings;video;VOICE_FROM_USER
;;first_session;
;;first_session;
;;first_session;
;;first_session;
SBERBOX;youtube;video;VOICE_FROM_USER
SBERBOX;assistant;axon;VOICE_FROM_USER
SBERBOX;assistant;axon;VOICE_FROM_USER
SBERBOX;launcher;axon;VOICE_FROM_USER
SBERBOX;music;axon;VOICE_FROM_USER
SBERBOX;music;axon;VOICE_FROM_USER
SBERBOX;music;axon;VOICE_FROM_USER
SBOL;assistant;axon;VOICE_FROM_USER
SBOL;assistant;axon;VOICE_FROM_USER
SBOL;assistant;replica;VOICE_FROM_USER
SBOL;assistant;replica;VOICE_FROM_USER
SBOL;assistant;replica;VOICE_FROM_USER
